--- DIAGNOSING FOLDER LOCK ON: C:\Users\user\AppData\Local\Programs\Study Tracker ---
Current Time: 2026-05-28 01:51:53
FAIL: Folder is locked. Error: The process cannot access the file because it is being used by another process.

--- ALL RUNNING PROCESSES ---
PID: 43252 | Name: Adobe Crash Processor | Company: Adobe Inc. | Path: C:\Program Files\Adobe\Adobe Creative Cloud Experience\js\node_modules\adobe-cr\build\Release\Adobe Crash Processor.exe
PID: 23924 | Name: AdobeIPCBroker | Company: Adobe Inc. | Path: C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe
PID: 10904 | Name: AggregatorHost | Company:  | Path: 
PID: 47724 | Name: agy | Company:  | Path: C:\Users\user\AppData\Local\agy\bin\agy.exe
PID: 35904 | Name: AIMonitor | Company: Adobe Inc. | Path: C:\Program Files\Adobe\Adobe Illustrator 2025\Support Files\Contents\Windows\AIMonitor.exe
PID: 16404 | Name: ApplicationFrameHost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\ApplicationFrameHost.exe
PID: 44292 | Name: audiodg | Company:  | Path: 
PID: 13304 | Name: backgroundTaskHost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\backgroundTaskHost.exe
PID: 29264 | Name: backgroundTaskHost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\backgroundTaskHost.exe
PID: 49580 | Name: backgroundTaskHost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\backgroundTaskHost.exe
PID: 13176 | Name: CCLibrary | Company: Adobe Systems Incorporated | Path: C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\CCLibrary.exe
PID: 42408 | Name: CCXProcess | Company: Adobe Inc. | Path: C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe
PID: 2220 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 8220 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 12844 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 14608 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 18380 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 19368 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
